label,tokenized
1,센치 토퍼 사용 하다 사이즈 자다 맞다 좋다 배송 좀 늦다 오다
1,좋다 몇번 써다 괜찮다 거 같다
0,재다 환불 건 처리 해주다
1,두께 감다 적당하다 생각 햇 덥다 더 괜찮다 다음 갈색 사다
0,빠르다 배송 마음 들다 사진 다른 증정 품 주다 변경 되어다 미리 고지 해주다 하다
1,재다 항상 믿다 구매 곳 가격 대비 최고 죵 비다 스 최공
0,바람 나다 자다 모르다
0,크기 생각 크다 심 있다 찌다 먹다 갈리다 입안 걸리다
1,선물 보내다 받다 요
1,필수 이다 꼭 구매 하다
0,촉감 무 끌 별로 시원하다 모르다 반품 귀찮다 그냥 쓰다
1,여유 있다 보내다 잘쓰다
1,가성 비 최고 불도 밝다 이쁘다
1,여기 상품 좋다 지인 추천 문해 봣 늘다 꾸준하다 써다 보다
1,재다 회사 쓰다 자주 주문 하다 좀 떨어지다 같다 그냥 쓰다 있다 배송 빨르다
1,설치 쉬다 화질 좋다 넘다 좋다
1,아기 목욕 시키다 잘쓰다 있다 안전 바 쓰다 되다 세면대 설치 시트 밑 고정 다리 좀 불안하다
1,재다 배송 빠르다 만족하다
1,배송 빠르다 상품 사진 똑같다
0,무게 지탱 못햎 자꾸 내려가다
0,생각 외로 모기 잡히다
0,고구마 외이케 말랏나 나하 려 바빠깜팍 햇 늘다 번 한적 잇다 적업 늘다 사이즈 정도 중 아니다 기다 중 아니다
0,바코드 왜 손상 되다 건 알다 년 넘다 써다 제품 항상 만족하다
1,용량 박스 사이즈 자다 체크 사다 크다
1,시원하다 좋다
1,제품 좋다 배송 날짜 칼 요 이사 날 정확하다 배달 설치 해주다 감사하다
1,늘 쓰다 여름 그렇다 지속 좀 떨어지다
1,가격 저렴하다
0,상품 가치 없다 크기 보내다 입사 크기 상 하다 이건 좀 아니다 정가 할인 액 크다
0,쓸다 하나 없다 효과 일도 없다
1,저렴하다 받다 기분 좋다 가방 실리콘 같다 좀 묻다 그거 괜찬 거 같다
1,빠르다 배송 감사하다 역시 헤라 이다
1,받다 아이 아이스크림 만들다 먹다 실리콘 되어다 빼기 편하다 좋다
0,어이 없다 셈 개 비어 오다
0,작업 하다 까다롭다 움 효과 체감 안되다
1,만족하다 슬림핏 아니다 레귤러네
1,왜 승무원 스프레이 하다 알다 짱 흡수 광택
1,연어초밥 연어 만들다 먹다 맛있다 내일 연어 스테이크 까나페 해 먹다 하다
1,상 판이 조금 약하다 일부러 누르다 않다 크다 좋다
1,시원하다 잘쓰다 같다 여름
1,배송 빨랏어 매번 먹다 거 싸다 가격 사다 빠르다 배 감사하다
0,머리 결 트리트먼트 거 럼 탈색 하다 않다 밝다 갈색 모 파란색 전혀 입히다 짐
0,핀 부분 골드 그렇다 이쁘다 기다 알러지 반응 있다
1,나름 튼튼하다 잘쓰다 같다 가격 퀄리티 훌륭하다
0,배송 느리다 레깅스 밑단 마무리 성함 수트 화면 밝다 주황색 같다
1,배송 좀 느리다 상자 제품 만들다 사용설명서 없다 남자 상관없다 여자 난감하다 있다
1,맞다 이쁘다
0,구성 약하다 입다 찢어지다 딛다 승능디슴
1,상품 맘 들다 배송 기간 늦다
1,두께 감 놀래다 도톰하다 좋다
0,완전 별로 사용 법도 중국어 영어 없다 심지어 사이트 올라오다 용법 다르다 며칠 쓰다 짜증나다 그냥 버리다
0,어떻다 용도 사용 하다 목적 알람 소리 작다
0,재다 크다 진짜 생각 크다
1,굿 년 쓰다 배송 빠르다 편이 좋다 전보 좀더 금방 쓰다 같다 더 무른편 같다
1,선물 용이 꼭꼭 숨기다 놓다 보다 아이 마음 들다
0,개 시키다 개다 제 들다 다니다 개 아이 용 사다 빨갛다 아예 로고 없다 불량 뭔가 검수 안 보이다 제 바쁘다 이제 서다 보다 놀래다
0,칸막이 규격 높이 맞다 않다 들다 다니다 물건 섞이다
0,성의 없다 제품 포장 상태 보고 다시다 구입 하다 하다 마음 생기다
1,맛 나다 좋다
1,착 붙다 레깅스 색상 사다 하다 담번 나오다 꼭 추가 구입 하다
1,겨울 촉촉하다 커버 돼다
0,배송 느리다 행사 끝나다 배송 받다
0,용량 짜다 리가 맞다 좀 의심스럽다 노트 충전 하다 칸 사라지다 버리다 무선 연결 되다 시간 좀 걸리다 유선 충전 하다 충전기 무슨 소리 깔끔하다 사용 하다 별로 지장 없다
0,배송 서비스 매우 안좋다 일방 스케줄 통보 안되다 배 라식
1,처음 먹다 보다 맛있다 생각 작다 하다 비리다 않다 먹다
0,붙이다 정말 어렵다 두다 버리다 다시 생폰 상태 이다
1,아이 넘다 좋아하다
1,배송 느리다 빼다 싱싱하다 맛있다
0,생각 흡수 좋다 않다
1,장말 좋다 엄마 아빠 써다 좋다 하다 쓰다 나다 재다 하다 파다 번창 하다
0,한쪽 버 기다 녹 이슬 끈 이임 심하다
0,돈 조금 아깝다 상황
0,볼트 맞다 찌그러지다 배달 오다 별루임
0,쓰다 보다 그냥 싸다 이유 있다 흉터 반응 없다
1,포장 하나 하나 포장 해주다 곳 레드 몽 판매 하다 구매 해보다 레드 하나 있다 나머지 전부 레드 아니다 여기다 전부 싱싱하다 레드 이다 재다 하다 도도 좋다
0,지속 좀 좋다 좋다 같다
1,접이식 수납 좋다 가방 있다 좋다 다만 철 가방 잠그다 하나 있다 더 좋다
0,재다 밤 키 시키다 먹다 마지막 시키다 왜 가요 상한 많다 짜증나다
1,대형 마트 구매 하다 발품 다가 네이버 페이 좋다 상품 있다 좋다 자다 쓸다
0,제 밉다 건지다 때 자다 나오다 그냥 때 국물 나오다
1,마음 들다 마음 들다 생각 크기 작다 당황 하다 다음 또 구매 하다
1,재다 좀 짧다 하다 걸다 두다 늘어나다 좋다 편하다 롱롱 치마 원하다
1,먹다 보지 않다 일단 배송 빠르다 용도 깔끔하다 오다
0,절대 안 살 겁니다 후회 하다
0,고급 세트 시키다 가리비 하나 들다 실망 스럽다 백상 합 추가 하다 하다 문의 글 남기다 답 없다 리뷰 남기다
0,닭 특유 비리다 맛 나서다 별로
0,침대 밑 수납 하다 좋다 사이즈
0,싱크 자다 안 맞다 문 자다 안 닫히다
0,양도 신선도 별로
1,무난 하다 좋다
0,미스 크다 없다 주문 하다 쓰다 하다 예전 무지 싸다
1,좋다 벤치 때 쓰다 사다
1,착오 인하다 배송 건 친절하다 상담 해주다 신속하다 재배 송해 주다 상품 빠르다 배송 훌륭하다 품질 아주 만족스럽다 거래 이다
1,보들보들하다 사이즈 답 나오다 어울리다
1,배송 하루 더 걸리다 늘 먹다
0,목 뿌러 진 오다 검수 해달라다 부탁드리다
1,재다 먹다 아침식사 좋다
0,비개 가다 많다
1,입구 조금 좁다 거 말다 재질 배송 모두 만족하다
1,재다 좋다 받다 잘쓰다
0,물건 좋다 디 모르다 배송 빵점 요 개봉 자마자 질질
1,배송 빠르다 받다 저렴하다 필요하다 제품 자다 같다
1,배송 빠르다 밝다 좋다
0,싸다 맛 먹다
0,택배 느리다
0,앞 당기다 앉다 때 자다 넘어지다 신중하다 고르다 하다
0,그다지 마음 들다 않다
1,신랑 마음 들다
1,좋다 포장 뾱뾱 잘쓰다 안전하다 옴
1,맘 들다 재다 완료 함
1,재다 늘 쓰다 물티슈 섞다 서주니 넘다 좋다 또 구매
1,말로 들다 파워콤 프 앉다 보다 왜 인생 안장 하다 알다 같다 강 추하다 파다
1,게타 로봇 찾다 만들기 쉬다 재밌다 만들다
1,빠르다 배송 늘 만족
0,생각 색깔 사진 다르다 발림 성은 나쁘다 않다 그치다 자다 사용 해보다
1,기대하다 좋다 소금
0,색상 조금 아쉽다 베이지
1,시기 배송 빠르다 좋다 같다
0,재다 불량품 많다 매번 주문 하다 이번 실망 스럽다 테이프 끊어지다 경우 많다 접착 자다 안되다 불량 많다
0,흡착 고무 수량 부족 및 불량
0,에어 빠지다 아쉽다
0,아이 좋아하다
1,약간 편 해보다 시원하다 매일 이다
0,재다 갈비탕 주문 하다 제육 녹다 서다 실망 요 맛 고기 좀 갈비탕 덜하다 밥 비비다 먹기 끼 가격 괜찮다
0,무늬 지워지다 옷 이염 되다
1,재다 거래처 항상 구매 하다
1,재다 아이 간식 좋다
1,배송 빠르다 편이 우산 크기 좋다 기다 우산 접다 때 체결 하다 부분 뻑뻑 하다
0,상품 평 보고 맛 없다 알 사다 맛 없다 아이 먹다 보고 싶다 하다 사다 액체 쏙 먹다 병 모양 몇번 씹다 보더 인제 씹다 않다 한번 재미 사다 생각 넘어가다 해도 가격 비싸다 해
1,교체 전 비슷하다
0,젓가락 좀 넣다 좋다 낫 템데
0,빨대 또 그렇다
1,빠룬 배송 다양하다 사이즈 좋다
0,전체 바디 끈적끈적하다 옷 걸다 두다 옷 걸이 서로 막 달라붙다 옷 걸이 뭐라다 끈 적다 예민하다 분 참고 하다
1,맛있다 나중 또 재 구매 싶다
1,좋다 불멍 때리다
0,배송 느리다 전시 이전 주문 하다 당일 발송 하다 목욜 시반 주문 하다 화욜 받다 배송 도관 없다 분 추천 하다 상품 문제 있다 아니다 요
0,특상 주문 하다 중간 사이즈 많다 종이컵 안 쏙 들어가다 사이즈 들다
1,가성 비 굿 저 프레임 구입 하다 오다 디자인 깔끔하다 인터넷 상품 비교 하다 가성 비 좋다 배송 해주다 분도 친절하다 상이 좋다
0,배송 달 걸리다 같다 제품 그닥
0,작다 사이즈 필요하다 구매 하다
0,마리 마리 크다 나머지 쪼그마 오다 조금 실망 햇 중 주문 하다
0,처음 몰랏는데 신다 보닌깐 리본 묶다 봣더 한쪽 리본 당기다 않다 다음 확인 자다 보내다
1,매우 만족하다 재다 의사 있다
0,분무기 질질 새 원래 그렇다
0,제품 잘못 오다 문의 하다 주문 하다
0,리뷰 좋다 구매 하다 외관 케이스 깔다 크다 있다 치약 좀 쓸다 편이 맛 끝 쓴맛 써다 저 신랑 아이 맞다 같다
1,곱창 냄새 안나 양념 맛있다 양도 많다 포장 꼼꼼하다
0,분무기 윗 부분 손상 되어다 사용 하다 지장 없다 그냥 사용 하다
1,생각 하다 데 편하다 좋다
0,유액 바르다 허다 접 종이 조각 색바랜 밑그림 최악 이다
1,상품 배송
1,앏지않 좋다
0,생각 넘다 겨 부채살 낳다
1,입자 고 요 양치 후 입 개운하다
1,좋다 무겁다 않다 마스크 잃어버리다 좋다
1,분말 고아 쓰기 좋다 아이 양치질 용 아이 사탕 용 자다 쓰다 있다 감사하다
0,박스 열다 때 알 굵다 애기 머리 통 고구마 좋다 하다 굽다 먹다 자르다 순간 표면 까맣다 변하다 굽 나 속이다 까맣다 보이다 단맛 안나 약간 쓴맛 같다 나서다 속상하다
0,의자 개 다리 중 짧다 다리 하나 있다 결과 레벨 맞다 않다 한쪽 거려 앉다 불편하다 교환 해주다
1,재다 부드럽다 좋다
1,다르다 주문 하다 볶음 용이 없다 주문 하다 편하다 좋다
1,괜찮다 색상 하나 더 구입 하다 예정 이다
0,사용 하다 때 삐 덕소 리가 심해 동봉 되다 윤활유 발라 보다 소리 나다 절대 추천 하다 않다 사지 말다 운동 하다 때 신경 쓰이다 쓰다 못 하다
1,재다 편의점 작다 상자 들다 는걸 먹다 보다 맛있다 직접 검색 하다 벌써 세번 그렇다 먹다 때 맛있다 질리 않다 맛 좋다
1,카르 티닌 덕분 땀 잘나다
1,재다 역시 리 채다 싸다 자다 사서 좋다
0,털 빠지다 처음 세탁 하다 때 털 세탁물 묻다 기겁 하다 두번째 역시 빠지다 저 맞다 생각 하다
0,가운데 고정 안되다 장거리 다녀오다 착용 하다 아이 움직이다 버클 아래 내려가다 가슴 쪽 줄이다 목 감싸다 가깝다 거리 사용 시 괜찮다
0,조개 내용물 작다 아쉽다
0,배송 시간 맞추다 일만 오다 사이즈 약간 작다 부위 있다 티어 나오다 부위 있다
1,지방 배송 늦다 알다 배송 빠르다 제품 생각 예쁘다 깔끔하다 나 배송 기사 넘다 친절하다 좋다
0,상품 늘 쓰다 구매 하다 제조 일자 개월 이상 된거 보내다 기분 나쁘다
0,고들빼기 되다 깻잎 제 깻잎 좋아하다 가격 비슷하다 차 나서다 다시 환불 교환 요청 하다 파시 안되다 다시다 이르다 않다
0,붓기 넘다 넘다 잘빧아
0,물건 얼리다 앞 쏠리다 힘 아리 하나 없다
0,신맛 무치다 좀 오래되다 해 사다 후회 하다 버리다 하다 해
0,물 빠지다 물 빠지다 심하다 실보 프라 기도 심하다 한참 제 하다 중간 중간 오다 림 있다 가격 대비 별로
1,소리 잘나오다 가성 비 정말 좋다 드라이브 기능 있다 만족하다
0,정전기 대박 길이 기다 내 키 작다 서다 치다 정전기 왜 심하다 건지다 만지다 하다 따닥따다닥 거리 다리 들러붙다 옷 처음 사보다 여 세탁 후 어찌 입다 되다
1,맛있다 고급스럽다 보이다
1,좋다 아이 연습 용 구매 하다 저 바이올린 아예 모르다 유튜브 영상 송진 바르다 법 튜닝법 검색 하다 송진 주시 여분 줄 바이올린 거치 주시 좋다 자다 사용 하다
1,열전달 자다 괴고 좋다
0,크다 생각 크게 나오니 주의 하다
0,남편 선물 사주다 하루 벗겨지다 비추다 이다
0,필터 마크 칸 뜨다 요정 품 맞다
1,괜 차다 잘쓰다
1,배송 빨르다 좋다
0,상품 이쁘다 갓 찌그러지다 오다 포장 좀더 신경 써주다
0,배송 넘다 느리다
0,앙고라 털 빠지다 옷 붙다 나오다
1,예쁘다 깔다 끄다 아부 좋다
1,가다 살다 저렴하다 좋다
0,재다 항상 쓰다 제품 이다
0,써다 왠만하다 먹다 표정 막 일그러지다
1,매번 쓰다 촉촉하다
0,다른 제품 사용 시 전력 달다 인지 깜박 거리
1,괜찮다 손 작다 좋다 편하다
1,배송 빠르다 깔끔하다 포장
1,운동화 사이즈 신다 주문 하다 작다 교환 하다
1,배송 좀 늦다 바지 좋다 다른 사이즈 벌 더 구매 하다 하다
1,싸다 잘살다 좋다 파다
0,리뷰 보고 삿는데 닥
0,가격 대비 별로 애 삿
1,빠르다 받다 쓸다 하다
1,색상 초이스 하다 블랙 걸 잘쓰다
0,처음 하다 봉지 뜯다 머리카락 발견
0,전 별로 신혼 때 유리 된거 붙다 사서 자다 써다 면서 두다 서다 새롭다 사다 하다 보다 그렇다 줄 알다 붙이 울다 완전 얼굴 꿀렁거려 멀다 미나 대충 쓰다 다음 이케아 유리 된거 살리다
1,좋다 킹 사이즈 침대 크기 사다 맞다 좋다 사다 오늘 세탁 하다 살짝 깔다 보다 예쁘다 맞다
1,스텐 견고하다 보이 붙다 간단하다 좋다
0,천이 천막 얇다 날씨 추워지다 찢어지다 같다
0,중간 사이즈 중간 사이즈 아니다 완전 소자 이다 대자 주문 하다 작다 서비스 줄 알다 깜짝 놀라다 박카스 뚜껑 크기 안되다
1,커피 덤 싸다 배송 빠르다 이상
0,일 써다 보다 자다 모르다 이틀 트러블 더 심해지다 해 일주일 써다 보고 계속 쓸다 고민 해 보다
1,한장 뽑다 쓰다 편리하다
0,관절 베이트 관절 움직이다 않다 관절 사이 베이 트 옆구리 코팅 제 뭉치다 굳다 그냥 싸다 고치다 써다 보다 하다 사업 번창 하다 싸다 제품 이르다 해도 좀더 신경 쓸다 되다 같다
0,녹다 오다 색도 갈다 변 되어다 오다
0,블랙 사각 호 주문 하다 화이트 사각 호가 오다 바로 교환 신청 하다 넘다 걸리다 짜증나다
1,재다 맛 좋다 항상 여기 주문 하다 먹다 있다
0,여기 의자 다시 살다 일 없다 겁니다 의자 그 자체 괜찮다 배송 상태 여기다 긁힌걸 그냥 주다 상품 팔다 방법 아니다 보다
1,아들 따뜻하다 가볍다 하다
1,튼튼하다 졸다 자다 사용 있다
0,세제 써다 보지 않다 섬유 유연제 저 향 진하다 원 짜다 동전 넣다 사용 하다
0,솔직하다 왜 사다 싶다 부드럽다 씻기다 지다 모르다 발바닥 문지르다 뿐 발옆 손 하다 하다 그냥 예전 발 전체 손 하다 같다 게으름 피우다 나 꼼수 부끄럽다
1,무조건 곡 고민 하다 구매 하다 배송 해외 배송 하니 좀 느리다 조급하다 기다리다 도착 하다 삼사일 사용 피부 넘다 좋아지다 안시 필수
1,재다 발림 좋다 크게 트러블 없다 재다 햇
1,잘쓰다 잘쓰다 보다 오오
0,벌써 구매 이번 받다 아로니아 색깔 진하다 않다 덜 갈다 돌 씹히다 많다 맛 쓰다 판매 문의 하다 사진 찍다 올리다 달라 고하 데 기분 좀 나쁘다
0,별로 재다 안해
0,사은 품다 없다
1,조명 환하다 거울 눈부시다 양쪽 접다 맘 듭니 신기하다 사다 좋다
1,이쁘다 포장 되어다 도착 하다 맛 콤 좋다 음료수 대용 말다 건강 챙기다 좋다 같다 파다
0,베어링 손잡이 부분 부러지다 상태 배송 되다
1,이쁘다 시원하다 쓸다 같다 플라스틱 냄새 좀 나다 시간 지남 빠지다
0,활 들뜨다 은색 불량 요 활 채우다 불량 면 교환 해주다 걸 팔다 답변 부탁드리다
1,가방 수납 쓰다 틀다 틀다 화 좋다
0,원래 기기 리나 건가 제품 들다 때 이상 항 소리 나다 촬영 하다 연락 줄다
1,비싸다 맛 잇다 번창 하다
0,고기 질겨
1,막 기능 탁월하다 색상 그냥 어 두운 그레이
0,에어팟 때문 사다 연결 시 음질 안 좋다 폰 통화 하다 느낌 끊기다 기도 하다 피치 낮다 들리다 기도 하다
0,지금 받다 뜯다 보다 내용물 흐르다 스틱 빵빵 하다 영물 변질 되다 아니다 걱정 이다
0,몇번 쓰다 생각 겉 끄다 버리다 좀 그렇다
1,지사 용하다 븨
1,향기 좋다 아이 좋아하다 주변 아이 엄마 효과 있다 추천 받다 사다 자다 산 같다
0,상품 평이 좋다 사다 품질 가격 만큼 요 허리 지지 하다 곳 플라스틱 보다 좌우 흐느적 거립니 솔직하다 불편하다
1,가성 비 배송 제품 만족 이다
0,어떻다 문자 통 택배 오다 심지어 배송 썪 아보카도 자다 받다
1,좀비 싸다 좋다 화장 에두 머리 감다 직후 두피 사용
1,재다 받다 않다 좋다
1,전체 대가 약하다 보임 가격 비다 수납 공간 괜찮다
0,귓볼 두껍다 사람 쓰다 제품 이다 성인 남자 함 세다 누르다 끝 뚫리다 귓속 중간 멈추다 번 시도 해봤다 귀 상처 나다 완전 짜증나다
1,사용 해보다 않다 믿다 점 사용 하다 보고 자다 맞다 재다 하다 예정
0,형태 유지 상당하다 안되다 가방 끈 조여 살짝 해도 바로 풀다 버리다
1,색상 재질 맘 들다 역시 빠르다 배송 좋다
1,칼집 내다 보내다 굽다 자다 먹다
0,소 누구 알다 코팅 입 키다
1,절삭 매우 만족
1,그냥 대충 담다 해도 지저분하다 깔끔하다 마법 타다 좋다 견고하다
1,장갑 짱짱하다 패드 좋다 장갑 끼다 상태 스마트폰 터치 되다
1,제대로 사용 해보다 않다 베개 사용 해봤다 나름 시원하다 같다 습 니당다 무겁다 기다 무겁다 더블 기준 적히다 있다
0,듀론 맞다 써다 맞다
0,볼트 써다 텝 물건 하다 전혀 틀리다 피치 이상 나오다 가다 도데 체 어디 기준 규격
1,사용 하다 거치 대가 부러지다 구매 하다
1,구성 좋다 드립 하다 때 스 하다
0,누가 밟다 더럽다 마시기 전 기분 별로
0,진짜 너무하다 욕실 매트 주방 매트 개 구매 하다 털다 털다 털 계속 나오다 그냥 털 계속 뽑히다 같다 마트 살껄 한번 세탁 하다 반품 못 그냥 버리다 구
1,용기 디자인 예쁘다 믿다 사용 해보다
1,재다 찌 거기 걸다 지다 아주 좋다
0,냄비 얇다 자다 타다
1,저렴하다 가격 배송 받다 좋다
0,아깝다 걸 설치 후 일정 자 나다 비 멈추다 현상 지속 발생 되다 카드 문제 이다 알다 본체 카드 꼽으 되다 교환 반품 시기 지나다 교환 환불 어리다 같다 돈 버리다 후기 적다
1,좋다 디 겄 긘드딕
0,상품 정보 고시 조국 국산 사다 물건 오 중국 이다 수정 하다 판매 하다 되다 아니다
1,좋다 알콤솜 소독 하다 트러블 생기다 굳다
1,질 좋다 가격 좋다
1,재다 저희 구입 친정엄마 보시 좋다 하다 구입 하다 보내다 드리다 색상 좋다 넘다 잘쓰다 있다
1,남자친구 사주다 신다 더 예쁘다
0,이렇다 알다 삿 옷 얇다 지금 입다 길이 짧아지다 분 명제 시키다 땐 없다 같다 제보 내용 잇다 전 길다 닞 싶다 서산 건데 배송 조회 자체 안되다 문의 햇 더니 원래 안되다 곸 그렇다 미리 공지 하다 보풀 자다 일어나다 재질 별로
0,중국 만들다 그렇다 디테 일이 떨어지다 기스 짝짝이 도색 벗겨지다 휘 짐 등등 싸다 맛 쓸다 분 사시 되다
0,고구마 저 안 맞다 포장 정말 깔끔하다
0,끈끈 하다 밀리다 나다 아쉽다 제 거만 건 궁금하다 쓸다 없다 정도 이다 개선 바라다
0,배송 느리다 급하다 철물 점 쫒다 네
1,디자인 좋다 경고 좋다
1,배송 빠르다 좋다 휘 온 잇다 교환 하다 귀찮다 그냥 조립 햇 더니 한쪽 조금 빠지다 튼튼하다
1,확실하다 효과 기대하다
1,식기세척기 전용 세제 찾다 구매 하다 설거지 되다 만족하다 재다 의사 있다
1,베 송도 빠르다 상품 좋다
1,검은색 예쁘다 굿굿 신랑 맘 들다 함
0,불량 인하다 판매 마인드 불만족 사과 없다
1,항상 주문 하다 제품 사이즈 좋다 무엇 손님 맛있다
